rank,cid,smi_rdkit,inchikey,iupac,mw,logp,tpsa,n_hbd,n_hba,n_rotb,n_rings,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,n_alpha_h,qed,priority,category
1,8035,CC(=O)CCC(C)=O,OJVAMHKKJGICOG-UHFFFAOYSA-N,"hexane-2,5-dione",114.14399999999999,0.9446,34.14,0,2,3,0,2,4,2,2,0,0,0.5469153902097886,0.6219153902097886,Dialdehyde (aliphatic)
2,85655730,O=CCCC(=O)CCC=O,FXJPWEZCHRHMEX-UHFFFAOYSA-N,4-oxoheptanedial,142.154,0.5137,51.21,0,3,6,0,3,4,3,3,0,2,0.5076409277947531,0.6201409277947532,Dialdehyde (aliphatic)
3,22174207,O=CCCC(C=O)CC=O,BWBDIVJHFOSTOD-UHFFFAOYSA-N,"butane-1,2,4-tricarbaldehyde",142.15399999999997,0.36959999999999993,51.21,0,3,6,0,3,3,3,3,0,2,0.5032547254129797,0.6157547254129796,Dialdehyde (aliphatic)
4,2778488,CC(=O)CC(=O)C(F)F,XUGVULWHXORSOM-UHFFFAOYSA-N,"1,1-difluoropentane-2,4-dione",136.09699999999998,0.7997000000000001,34.14,0,2,3,0,2,4,2,2,2,0,0.5375245853770366,0.6125245853770366,Fluoro-dialdehyde
5,88107591,O=CCC(F)(F)CC=O,NHGCSHZAUNOUMF-UHFFFAOYSA-N,"3,3-difluoropentanedial",136.09699999999998,0.7997000000000001,34.14,0,2,4,0,2,2,2,2,2,2,0.5354396903671274,0.6104396903671273,Fluoro-dialdehyde
6,88339824,CC(=O)CC(C)=O.Cl,VOFFVMCMIKGTSH-UHFFFAOYSA-N,"pentane-2,4-dione;hydrochloride",136.578,0.9763,34.14,0,2,2,0,2,4,2,2,0,0,0.5306097086740099,0.6056097086740099,Dialdehyde (aliphatic)
7,20446369,O=CCC(C=O)CC=O,MGMZJMPWJVWBCE-UHFFFAOYSA-N,"propane-1,2,3-tricarbaldehyde",128.12699999999998,-0.020499999999999963,51.21,0,3,5,0,3,3,3,3,0,2,0.48872000612200955,0.6012200061220095,Dialdehyde (aliphatic)
8,12666451,CC(=O)C(F)(F)C(C)=O,XVYFWBWYEAQLJC-UHFFFAOYSA-N,"3,3-difluoropentane-2,4-dione",136.09699999999998,0.7997,34.14,0,2,2,0,2,4,2,2,2,0,0.5259322443206755,0.6009322443206755,Fluoro-dialdehyde
9,1112,O=CCCC(=O)O,UIUJIQZEACWQSV-UHFFFAOYSA-N,4-oxobutanoic acid,102.08899999999998,0.05009999999999998,54.37,1,2,3,0,2,2,2,2,0,1,0.5120392189958191,0.587039218995819,Dialdehyde (aliphatic)
10,12484446,CCOC(CC=O)CC=O,RMDVUYYLNKBTNC-UHFFFAOYSA-N,3-ethoxypentanedial,144.17,0.5695000000000001,43.370000000000005,0,3,6,0,2,2,2,2,0,2,0.5116979654233935,0.5866979654233935,Dialdehyde (aliphatic)
