cid,mw_pc,smiles,connectivitysmiles,iupac,logp_pc
101,122.12,C1=CC(=CC(=C1)O)C=O,C1=CC(=CC(=C1)O)C=O,3-hydroxybenzaldehyde,1.4
107,150.17,C1=CC=C(C=C1)CCC(=O)O,C1=CC=C(C=C1)CCC(=O)O,3-phenylpropanoic acid,1.8
126,122.12,C1=CC(=CC=C1C=O)O,C1=CC(=CC=C1C=O)O,4-hydroxybenzaldehyde,1.4
129,100.16,CC(C)CCC=O,CC(C)CCC=O,4-methylpentanal,1.3
177,44.05,CC=O,CC=O,acetaldehyde,-0.3
180,58.08,CC(=O)C,CC(=O)C,propan-2-one,-0.1
240,106.12,C1=CC=C(C=C1)C=O,C1=CC=C(C=C1)C=O,benzaldehyde,1.5
243,122.12,C1=CC=C(C=C1)C(=O)O,C1=CC=C(C=C1)C(=O)O,benzoic acid,1.9
261,72.11,CCCC=O,CCCC=O,butanal,0.9
307,132.16,C1=CC=C(C=C1)C=CC=O,C1=CC=C(C=C1)C=CC=O,3-phenylprop-2-enal,1.9
326,148.20,CC(C)C1=CC=C(C=C1)C=O,CC(C)C1=CC=C(C=C1)C=O,4-propan-2-ylbenzaldehyde,2.7
527,58.08,CCC=O,CCC=O,propanal,0.6
650,86.09,CC(=O)C(=O)C,CC(=O)C(=O)C,"butane-2,3-dione",-1.3
756,60.05,C(C=O)O,C(C=O)O,2-hydroxyacetaldehyde,-0.9
855,74.08,CC(C=O)O,CC(C=O)O,2-hydroxypropanal,-0.5
880,72.06,CC(=O)C=O,CC(=O)C=O,2-oxopropanal,-0.4
997,164.16,C1=CC=C(C=C1)CC(=O)C(=O)O,C1=CC=C(C=C1)CC(=O)C(=O)O,2-oxo-3-phenylpropanoic acid,1.3
998,120.15,C1=CC=C(C=C1)CC=O,C1=CC=C(C=C1)CC=O,2-phenylacetaldehyde,1.8
999,136.15,C1=CC=C(C=C1)CC(=O)O,C1=CC=C(C=C1)CC(=O)O,2-phenylacetic acid,1.4
1112,102.09,C(CC(=O)O)C=O,C(CC(=O)O)C=O,4-oxobutanoic acid,-0.8
1576,163.22,CC(C(=O)C1=CC=CC=C1)NC,CC(C(=O)C1=CC=CC=C1)NC,2-(methylamino)-1-phenylpropan-1-one,1.6
1730,357.16,C1=CC(=CC=C1C(=O)O)[Hg]Cl,C1=CC(=CC=C1C(=O)O)[Hg]Cl,(4-carboxyphenyl)-chloromercury,
2331,121.14,C1=CC=C(C=C1)C(=O)N,C1=CC=C(C=C1)C(=O)N,benzamide,0.6
2345,212.24,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,benzyl benzoate,4.0
2449,354.4,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCC(=O)O)C2=CC=CC=C2)C,CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCC(=O)O)C2=CC=CC=C2)C,"7-phenyl-7-(2,4,5-trimethyl-3,6-dioxocyclohexa-1,4-dien-1-yl)heptanoic acid",4.4
3102,182.22,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,diphenylmethanone,3.4
3136,218.20,COC1=C(C(=O)C2=CC=CC=C2C1=O)OC,COC1=C(C(=O)C2=CC=CC=C2C1=O)OC,"2,3-dimethoxynaphthalene-1,4-dione",1.9
3236,259.4,CCC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2,CCC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2,1-(4-ethylphenyl)-2-methyl-3-piperidin-1-ylpropan-1-one,3.8
3335,254.28,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O,4-oxo-4-(4-phenylphenyl)butanoic acid,3.2
3485,100.12,C(CC=O)CC=O,C(CC=O)CC=O,pentanedial,-0.5
3825,254.28,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,2-(3-benzoylphenyl)propanoic acid,3.1
