rank_nb2,rank_nb1,cid,smi_rdkit,iupac,mw,logp,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,qed,category,elec_proxy,ani_energy,method,conformer_ok,nb2_score
1,86,70620,O=CCCCCC=O,hexanedial,114.144,0.9446,2,2,2,2,0,0.3935377816640176,Dialdehyde (aliphatic),11.949040527901596,,gasteiger,True,84.45521407344265
2,96,3485,O=CCCCC=O,pentanedial,100.117,0.5545,2,2,2,2,0,0.381710195438469,Dialdehyde (aliphatic),11.950354805501647,,gasteiger,True,84.44965464130351
3,18,80473,CC(CC=O)CC=O,3-methylpentanedial,114.144,0.8005,2,2,2,2,0,0.506437220672798,Dialdehyde (aliphatic),11.97695941943441,,gasteiger,True,84.33711635735091
4,121,12524,O=CCCC=O,butanedial,86.08999999999999,0.1644,2,2,2,2,0,0.3620014734523953,Dialdehyde (aliphatic),11.991937563259206,,gasteiger,True,84.27375837714874
5,140,87944034,O=CCCC#CCCC=O,oct-4-ynedial,138.16599999999997,0.948,2,2,2,2,0,0.3290273917173541,Dialdehyde (aliphatic),12.044015271982671,,gasteiger,True,84.0534681678364
6,3,22174207,O=CCCC(C=O)CC=O,"butane-1,2,4-tricarbaldehyde",142.15399999999997,0.3695999999999999,3,3,3,3,0,0.5032547254129797,Dialdehyde (aliphatic),12.090833424716564,,gasteiger,True,83.85542603199413
7,20,101171,CC(C=O)CCC=O,2-methylpentanedial,114.14399999999998,0.8005,2,2,2,2,0,0.5064372206727978,Dialdehyde (aliphatic),12.090960225048272,,gasteiger,True,83.85488966293532
8,7,20446369,O=CCC(C=O)CC=O,"propane-1,2,3-tricarbaldehyde",128.12699999999998,-0.0204999999999999,3,3,3,3,0,0.4887200061220095,Dialdehyde (aliphatic),12.128473917357812,,gasteiger,True,83.69620566293776
9,28,10996971,CC(C=O)CC=O,2-methylbutanedial,100.117,0.4104,2,2,2,2,0,0.4812074437046236,Dialdehyde (aliphatic),12.14549011726832,,gasteiger,True,83.62422664673542
10,19,91427,CCC(C=O)CC=O,2-ethylbutanedial,114.14399999999998,0.8005,2,2,2,2,0,0.5064372206727978,Dialdehyde (aliphatic),12.159315893961333,,gasteiger,True,83.56574321272373
11,97,13643743,O=CCCOCCC=O,3-(3-oxopropoxy)propanal,130.14299999999997,0.181,2,2,2,2,0,0.3802768828111005,Dialdehyde (aliphatic),12.178697033286852,,gasteiger,True,83.48376043461417
12,22,15575778,O=CCC(O)CC=O,3-hydroxypentanedial,116.116,-0.4747,2,2,2,2,0,0.5047967384041225,Dialdehyde (aliphatic),12.208067428861538,,gasteiger,True,83.3595228145781
13,10,12484446,CCOC(CC=O)CC=O,3-ethoxypentanedial,144.17,0.5695000000000001,2,2,2,2,0,0.5116979654233935,Dialdehyde (aliphatic),12.209060128734132,,gasteiger,True,83.35532366549728
