rank_nb3,rank_nb2,cid,smi_rdkit,mw,logp,n_aldehyde,nb2_score,elec_proxy,category,aff_HER2,status_HER2,aff_PDL1,status_PDL1,mean_affinity,final_score_nb3
1,5,87944034,O=CCCC#CCCC=O,138.16599999999997,0.948,2,84.0534681678364,12.044015271982673,Dialdehyde (aliphatic),-4.148,ok,-4.281,ok,-4.214499999999999,67.29008090070184
2,10,91427,CCC(C=O)CC=O,114.14399999999998,0.8005,2,83.56574321272373,12.159315893961333,Dialdehyde (aliphatic),-3.657,ok,-3.763,ok,-3.71,64.97944592763423
3,13,12484446,CCOC(CC=O)CC=O,144.17,0.5695000000000001,2,83.35532366549728,12.209060128734132,Dialdehyde (aliphatic),-3.863,ok,-3.606,ok,-3.7344999999999997,64.95119419929837
4,3,80473,CC(CC=O)CC=O,114.144,0.8005,2,84.33711635735091,11.97695941943441,Dialdehyde (aliphatic),-3.576,ok,-3.485,ok,-3.5305,64.72426981441055
5,6,22174207,O=CCCC(C=O)CC=O,142.15399999999997,0.3695999999999999,3,83.85542603199413,12.090833424716564,Dialdehyde (aliphatic),-3.693,ok,-3.492,ok,-3.5925000000000002,64.68325561919647
6,1,70620,O=CCCCCC=O,114.144,0.9446,2,84.45521407344265,11.949040527901596,Dialdehyde (aliphatic),-3.373,ok,-3.401,ok,-3.387,64.22112844406558
7,17,85655730,O=CCCC(=O)CCC=O,142.154,0.5137,3,82.38833046790596,12.437662163472451,Dialdehyde (aliphatic),-3.701,ok,-3.615,ok,-3.6580000000000004,64.06499828074358
8,7,101171,CC(C=O)CCC=O,114.14399999999998,0.8005,2,83.85488966293532,12.090960225048272,Dialdehyde (aliphatic),-3.383,ok,-3.489,ok,-3.436,64.05693379776119
9,8,20446369,O=CCC(C=O)CC=O,128.12699999999998,-0.0204999999999999,3,83.69620566293776,12.128473917357812,Dialdehyde (aliphatic),-3.347,ok,-3.308,ok,-3.3274999999999997,63.52772339776266
10,14,21190979,CC(C)(C=O)CC=O,114.14399999999998,0.8005,2,82.97637711521844,12.29864499103367,Dialdehyde (aliphatic),-3.418,ok,-3.448,ok,-3.433,63.517826269131064
11,18,10953466,CC(=O)CCCC=O,114.144,0.9446,2,82.36637806768204,12.442851820825863,Dialdehyde (aliphatic),-3.474,ok,-3.49,ok,-3.482,63.347826840609216
12,11,13643743,O=CCCOCCC=O,130.14299999999997,0.181,2,83.48376043461417,12.178697033286852,Dialdehyde (aliphatic),-3.247,ok,-3.32,ok,-3.2835,63.2242562607685
13,2,3485,O=CCCCC=O,100.117,0.5545,2,84.44965464130351,11.950354805501648,Dialdehyde (aliphatic),-3.065,ok,-3.209,ok,-3.137,63.217792784782105
14,12,15575778,O=CCC(O)CC=O,116.116,-0.4747,2,83.3595228145781,12.208067428861538,Dialdehyde (aliphatic),-3.241,ok,-3.195,ok,-3.218,62.88771368874686
15,22,18008592,O=CCCC(C=O)C=O,128.12699999999998,-0.0204999999999999,3,81.58118705945898,12.62847490750851,Dialdehyde (aliphatic),-3.487,ok,-3.461,ok,-3.474,62.84471223567539
16,23,13699910,CC(=O)C[C@H](C)C=O,114.14399999999998,0.8005,2,81.53882720056441,12.638488990294867,Dialdehyde (aliphatic),-3.395,ok,-3.48,ok,-3.4375,62.67329632033864
17,21,5323605,CCC(=O)CCC=O,114.144,0.9446,2,81.59679672968224,12.624784703292477,Dialdehyde (aliphatic),-3.401,ok,-3.373,ok,-3.387,62.506078037809345
18,9,10996971,CC(C=O)CC=O,100.117,0.4104,2,83.62422664673542,12.14549011726832,Dialdehyde (aliphatic),-3.191,ok,-2.967,ok,-3.0789999999999997,62.49053598804125
19,15,129809271,O=C[C@@H]1C[C@H]1C=O,98.10099999999998,0.0202999999999999,2,82.8423119170656,12.330338675292955,Dialdehyde (cyclic),-3.067,ok,-3.232,ok,-3.1495,62.30338715023936
20,16,11434915,O=CC1CC1C=O,98.10099999999998,0.0202999999999999,2,82.8423119170656,12.330338675292955,Dialdehyde (cyclic),-3.114,ok,-3.175,ok,-3.1445,62.28338715023936
21,24,13699909,CC(=O)CC(C)C=O,114.14399999999998,0.8005,2,81.53882720056441,12.638488990294867,Dialdehyde (aliphatic),-3.296,ok,-3.379,ok,-3.3375,62.273296320338645
22,27,89298719,O=CCC(C=O)P=O,132.055,0.4345999999999999,2,80.96144857135226,12.774984189827912,Dialdehyde (aliphatic),-3.472,ok,-3.169,ok,-3.3205,61.85886914281136
23,19,164702,CC(=O)CCC=O,100.117,0.5545,2,82.18829452649344,12.48495166182839,Dialdehyde (aliphatic),-3.16,ok,-3.054,ok,-3.107,61.74097671589607
24,29,18538325,O=CCCC(=O)CC=O,128.12699999999998,0.1235999999999999,3,80.47885562339988,12.88907157961212,Dialdehyde (aliphatic),-3.302,ok,-3.378,ok,-3.34,61.647313374039925
