rank_nb3,rank_nb2,cid,smi_rdkit,mw,logp,n_aldehyde,nb2_score,elec_proxy,category,aff_HER2,status_HER2,aff_PDL1,status_PDL1,mean_affinity,final_score_nb3
1,5,87944034,O=CCCC#CCCC=O,138.16599999999997,0.948,2,84.0534681678364,12.044015271982673,Dialdehyde (aliphatic),-4.148,ok,-4.281,ok,-4.214499999999999,67.29008090070184
2,10,91427,CCC(C=O)CC=O,114.14399999999998,0.8005,2,83.56574321272373,12.159315893961333,Dialdehyde (aliphatic),-3.657,ok,-3.763,ok,-3.71,64.97944592763423
3,13,12484446,CCOC(CC=O)CC=O,144.17,0.5695000000000001,2,83.35532366549728,12.209060128734132,Dialdehyde (aliphatic),-3.863,ok,-3.606,ok,-3.7344999999999997,64.95119419929837
4,3,80473,CC(CC=O)CC=O,114.144,0.8005,2,84.33711635735091,11.97695941943441,Dialdehyde (aliphatic),-3.576,ok,-3.485,ok,-3.5305,64.72426981441055
5,6,22174207,O=CCCC(C=O)CC=O,142.15399999999997,0.3695999999999999,3,83.85542603199413,12.090833424716564,Dialdehyde (aliphatic),-3.693,ok,-3.492,ok,-3.5925000000000002,64.68325561919647
6,1,70620,O=CCCCCC=O,114.144,0.9446,2,84.45521407344265,11.949040527901596,Dialdehyde (aliphatic),-3.373,ok,-3.401,ok,-3.387,64.22112844406558
7,17,85655730,O=CCCC(=O)CCC=O,142.154,0.5137,3,82.38833046790596,12.437662163472451,Dialdehyde (aliphatic),-3.701,ok,-3.615,ok,-3.6580000000000004,64.06499828074358
8,7,101171,CC(C=O)CCC=O,114.14399999999998,0.8005,2,83.85488966293532,12.090960225048272,Dialdehyde (aliphatic),-3.383,ok,-3.489,ok,-3.436,64.05693379776119
9,8,20446369,O=CCC(C=O)CC=O,128.12699999999998,-0.0204999999999999,3,83.69620566293776,12.128473917357812,Dialdehyde (aliphatic),-3.347,ok,-3.308,ok,-3.3274999999999997,63.52772339776266
10,14,21190979,CC(C)(C=O)CC=O,114.14399999999998,0.8005,2,82.97637711521844,12.29864499103367,Dialdehyde (aliphatic),-3.418,ok,-3.448,ok,-3.433,63.517826269131064
