rank_nb4,rank_nb3,cid,smi_rdkit,mw,logp,n_aldehyde,nb2_score,elec_proxy,aff_HER2,aff_PDL1,mean_affinity,final_score_nb3,category,access_HER2,delta_sasa_HER2,n_xl_HER2,access_PDL1,delta_sasa_PDL1,n_xl_PDL1,mean_access,ihc_compatible,nb4_score
1,0,87944034,O=CCCC#CCCC=O,138.16599999999997,0.948,2,84.0534681678364,0,-4.148,-4.281,-4.214499999999999,67.29008090070184,Dialdehyde (aliphatic),99.37854193092421,-18.569510400000002,0.48,99.35387325733689,-18.569510400000002,0.48,99.36620759413054,True,75.25708311726353
2,1,91427,CCC(C=O)CC=O,114.14399999999998,0.8005,2,83.56574321272373,0,-3.657,-3.763,-3.71,64.97944592763423,Dialdehyde (aliphatic),99.48659069643338,-15.340953599999999,0.48,99.46621100043038,-15.340953599999999,0.48,99.47640084843188,True,73.45755648192645
3,2,12484446,CCOC(CC=O)CC=O,144.17,0.5695000000000001,2,83.35532366549728,0,-3.863,-3.606,-3.7345,64.95119419929837,Dialdehyde (aliphatic),99.35153648641014,-19.376448,0.48,99.32579583624234,-19.376448,0.48,99.33866616132624,True,73.38051384543532
4,3,80473,CC(CC=O)CC=O,114.144,0.8005,2,84.33711635735091,0,-3.576,-3.485,-3.5305,64.72426981441055,Dialdehyde (aliphatic),99.48659069643338,-15.340953599999999,0.48,99.46621100043038,-15.340953599999999,0.48,99.47640084843188,True,73.02214976808324
5,7,101171,CC(C=O)CCC=O,114.14399999999998,0.8005,2,83.85488966293532,0,-3.383,-3.489,-3.436,64.05693379776119,Dialdehyde (aliphatic),99.48659069643338,-15.340953599999999,0.48,99.46621100043038,-15.340953599999999,0.48,99.47640084843188,True,72.57084309447933
6,5,70620,O=CCCCCC=O,114.144,0.9446,2,84.45521407344265,0,-3.373,-3.401,-3.387,64.22112844406558,Dialdehyde (aliphatic),99.48659069643338,-15.340953599999999,0.48,99.46621100043038,-15.340953599999999,0.48,99.47640084843188,True,72.54942419710616
7,4,22174207,O=CCCC(C=O)CC=O,142.15399999999997,0.3695999999999999,3,83.85542603199413,0,-3.693,-3.492,-3.5925,64.68325561919647,Dialdehyde (aliphatic),98.56135960879922,-42.987369599999994,1.08,98.50425302030024,-42.987369599999994,1.08,98.53280631454973,True,72.36385155963832
8,9,21190979,CC(C)(C=O)CC=O,114.14399999999998,0.8005,2,82.97637711521844,0,-3.418,-3.448,-3.433,63.51782626913106,Dialdehyde (aliphatic),99.48659069643338,-15.340953599999999,0.48,99.46621100043038,-15.340953599999999,0.48,99.47640084843188,True,72.34071495755012
9,6,85655730,O=CCCC(=O)CCC=O,142.154,0.5137,3,82.38833046790596,0,-3.701,-3.615,-3.658,64.06499828074358,Dialdehyde (aliphatic),98.56135960879922,-42.9873696,1.08,98.50425302030024,-42.9873696,1.08,98.53280631454973,True,72.22632766861628
10,8,20446369,O=CCC(C=O)CC=O,128.12699999999998,-0.0204999999999999,3,83.69620566293776,0,-3.347,-3.308,-3.3275,63.52772339776266,Dialdehyde (aliphatic),98.7033169843734,-38.7456048,1.08,98.65184537003537,-38.7456048,1.08,98.67758117720439,True,71.51236635749794
