grand_rank,rank_nb4,cid,smi_rdkit,mw,logp,n_aldehyde,nb2_score,elec_proxy,aff_HER2,aff_PDL1,mean_affinity,access_HER2,access_PDL1,nb4_score,category,pen_rate,time_5mm,pen_class,pen_ok,k_rel,k_vs_glut,kinetics_ok,hyd_risk,poly_risk,ox_risk,stability,stability_ok,formalin_stability,nb5_score,grand_score,all_ok
1,2,91427,CCC(C=O)CC=O,114.14399999999998,0.8005,2,83.56574321272373,0,-3.657,-3.763,-3.71,99.48659069643338,99.46621100043038,73.45755648192645,Dialdehyde (aliphatic),0.35371366903977436,14.135727390952937,Good,True,1.922344631416958,1.0430723470792234,True,26.282590412111016,65,50,51.115222876366694,True,38.3,50.33119797261021,64.20701307819995,True
2,1,87944034,O=CCCC#CCCC=O,138.16599999999997,0.948,2,84.0534681678364,0,-4.148,-4.281,-4.214499999999999,99.3785419309242,99.35387325733689,75.25708311726353,Dialdehyde (aliphatic),0.3241927101724913,15.422925448692784,Good,True,1.8781302406583096,1.0190814311999477,True,21.71301188425517,80,50,46.48609643472345,True,38.3,47.18388541381134,64.02780403588265,True
3,8,21190979,CC(C)(C=O)CC=O,114.14399999999998,0.8005,2,82.97637711521844,0,-3.418,-3.448,-3.433,99.48659069643338,99.46621100043038,72.34071495755012,Dialdehyde (aliphatic),0.35371366903977436,14.135727390952937,Good,True,1.9771643574112567,1.0728177628202942,True,26.282590412111016,65,50,51.115222876366694,True,38.3,50.8793952325532,63.75618706755135,True
4,5,101171,CC(C=O)CCC=O,114.14399999999998,0.8005,2,83.85488966293532,0,-3.383,-3.489,-3.436,99.48659069643338,99.46621100043038,72.57084309447933,Dialdehyde (aliphatic),0.35371366903977436,14.135727390952937,Good,True,1.8960081696669588,1.0287820712762392,True,26.282590412111016,65,50,51.115222876366694,True,38.3,50.067833355110224,63.56963919873169,True
5,9,85655730,O=CCCC(=O)CCC=O,142.154,0.5137,3,82.38833046790596,0,-3.701,-3.615,-3.658,98.56135960879922,98.50425302030024,72.22632766861628,Dialdehyde (aliphatic),0.263112713075489,19.00326267611958,Good,True,2.490419953166652,1.3513124251023167,True,21.103873264206424,80,60,43.66883802073807,True,38.3,49.73785932475479,63.230940331071686,True
6,4,80473,CC(CC=O)CC=O,114.144,0.8005,2,84.33711635735091,0,-3.576,-3.485,-3.5305,99.48659069643338,99.46621100043038,73.02214976808324,Dialdehyde (aliphatic),0.35371366903977436,14.135727390952937,Good,True,1.8528855027105033,1.0053835293605626,True,26.282590412111016,80,50,45.115222876366694,True,38.3,47.836606685545675,62.94793253506821,True
7,6,70620,O=CCCCCC=O,114.144,0.9446,2,84.45521407344265,0,-3.373,-3.401,-3.387,99.48659069643338,99.46621100043038,72.54942419710616,Dialdehyde (aliphatic),0.36332976935269407,13.761602879136403,Good,True,1.8424750990087169,0.9997348001754838,True,26.282590412111016,80,50,45.115222876366694,True,38.3,48.16131425668476,62.794180220937605,True
8,7,22174207,O=CCCC(C=O)CC=O,142.15399999999997,0.3695999999999999,3,83.85542603199413,0,-3.693,-3.492,-3.5925,98.56135960879922,98.50425302030024,72.36385155963832,Dialdehyde (aliphatic),0.2555505250797618,19.56560252983011,Good,True,2.3220668603099557,1.259963323159736,True,21.10387326420643,80,60,43.66883802073807,True,38.3,47.717107080882265,62.5051537681359,True
9,10,20446369,O=CCC(C=O)CC=O,128.12699999999998,-0.0204999999999999,3,83.69620566293776,0,-3.347,-3.308,-3.3275,98.7033169843734,98.65184537003536,71.51236635749794,Dialdehyde (aliphatic),0.2786976661808383,17.940587980222464,Good,True,2.3397730163567627,1.2695707584986746,True,23.414268655318555,80,60,42.97571940340443,True,38.3,48.71843555787048,62.39479403764695,True
10,3,12484446,CCOC(CC=O)CC=O,144.17,0.5695000000000001,2,83.35532366549728,0,-3.863,-3.606,-3.7345,99.35153648641014,99.32579583624234,73.38051384543532,Dialdehyde (aliphatic),0.2777028469861014,18.004856825433418,Good,True,1.941740063920517,1.0535963909855397,True,20.808767427342723,80,50,46.75736977179718,True,38.3,45.82823908405988,62.359603940885144,True
